Operator,price,Bus Type,Seats Left,Window Seats,rating,Source,Destination,distance,Departure Hour,Arrival Hour,Travel Duration (min)
365,1330,23,16,9,5.0,0,5,240,4,6,165
846,2499,10,26,11,5.0,0,5,240,2,5,220
266,1489,9,13,9,5.0,0,5,240,3,7,205
525,474,28,44,20,4.4,0,5,240,21,1,285
266,1619,1,10,4,5.0,0,5,240,1,3,145
525,474,28,41,19,4.3,0,5,240,22,2,285
60,1800,66,21,8,4.7,0,5,240,8,11,180
593,969,20,34,18,4.3,0,5,240,17,21,210
525,474,28,40,19,4.1,0,5,240,23,4,285
593,2499,56,36,15,4.4,0,5,240,18,21,195
585,1499,1,34,17,4.3,0,5,240,3,6,219
525,474,28,38,17,4.0,0,5,240,19,23,285
525,474,28,24,6,4.3,0,5,240,13,17,285
525,474,28,29,15,4.1,0,5,240,17,21,275
525,284,28,37,16,4.0,0,5,240,16,21,275
525,284,28,35,17,3.9,0,5,240,16,20,280
525,474,28,37,16,3.9,0,5,240,18,22,285
266,1289,20,46,23,3.9,0,5,240,4,8,210
266,1229,1,42,23,3.9,0,5,240,4,7,200
85,2100,2,42,16,4.0,0,5,240,6,10,230
592,1299,7,12,4,4.3,0,5,240,5,9,210
592,1099,7,27,15,4.0,0,5,240,22,1,180
266,1189,1,33,18,3.9,0,5,240,1,5,225
525,521,28,17,7,3.9,0,5,240,8,12,255
85,845,1,18,9,4.0,0,5,240,4,8,270
266,1249,57,29,11,3.9,0,5,240,4,7,200
525,521,28,14,4,3.9,0,5,240,9,13,275
592,1299,20,20,8,4.0,0,5,240,2,6,240
525,474,28,30,14,3.6,0,5,240,14,18,285
707,1044,1,21,11,3.9,0,5,240,23,2,200
85,999,2,14,2,4.0,0,5,240,1,3,150
592,1699,10,18,8,4.0,0,5,240,3,6,165
85,999,1,11,5,4.0,0,5,240,3,6,150
266,1399,20,10,6,4.0,0,5,240,4,7,205
541,1000,13,29,12,3.7,0,5,240,3,7,225
541,1299,57,31,14,3.7,0,5,240,22,2,205
128,2857,1,42,22,3.7,0,5,240,5,9,270
525,474,28,37,16,3.4,0,5,240,15,19,285
541,1199,57,29,13,3.7,0,5,240,17,21,215
593,1899,20,13,4,4.0,0,5,240,2,5,165
541,1199,57,27,14,3.7,0,5,240,15,19,255
266,1899,57,19,5,3.9,0,5,240,3,6,195
716,2099,23,25,12,3.8,0,5,240,23,3,220
266,1519,20,12,6,3.9,0,5,240,3,6,205
883,999,20,36,19,3.5,0,5,240,22,2,250
592,4849,7,30,16,4.0,0,5,240,22,1,165
393,1499,10,30,15,3.6,0,5,240,22,1,210
605,1649,10,16,8,3.8,0,5,240,2,6,195
904,1141,20,17,10,3.7,0,5,240,2,6,250
525,527,28,11,2,3.6,0,5,240,10,14,275
593,1999,7,29,14,3.6,0,5,240,15,18,185
365,884,20,12,5,3.7,0,5,240,4,8,230
266,149,1,10,6,3.6,0,5,240,2,5,200
525,568,28,12,3,3.5,0,5,240,12,16,285
221,1599,57,37,19,3.2,0,5,240,18,21,180
638,1099,1,34,12,3.2,0,5,240,2,6,209
578,1299,1,26,14,3.3,0,5,240,8,11,190
578,1199,1,23,9,3.3,0,5,240,6,10,208
578,2599,1,27,13,3.3,0,5,240,2,5,169
365,964,20,21,7,3.2,0,5,240,7,10,190
423,1400,53,49,22,2.8,0,5,240,1,5,240
427,1899,54,12,5,3.3,0,5,240,2,5,200
221,1999,56,45,20,2.8,0,5,240,14,15,1510
519,1000,48,34,18,2.8,0,5,240,3,6,210
340,996,1,14,5,3.0,0,5,240,4,8,220
61,332,13,36,16,2.6,0,5,240,18,23,315
593,1119,7,11,7,3.0,0,5,240,2,5,220
221,699,23,22,11,2.8,0,5,240,5,8,170
653,1249,57,22,12,2.8,0,5,240,23,3,211
317,999,1,11,4,2.9,0,5,240,4,8,240
593,1239,7,18,9,2.8,0,5,240,2,5,185
221,849,20,13,7,2.8,0,5,240,4,7,170
185,699,71,39,19,2.4,0,5,240,16,1,500
365,513,20,41,21,2.3,0,5,240,14,18,240
908,2659,10,36,18,2.6,0,5,240,23,2,175
266,1339,20,24,14,2.6,0,5,240,4,7,165
221,1999,56,45,20,2.4,0,5,240,14,17,210
265,990,57,29,12,2.5,0,5,240,3,7,225
803,797,18,26,7,2.5,0,5,240,6,8,150
593,1800,60,23,10,2.6,0,5,240,15,18,180
266,1329,20,25,14,2.4,0,5,240,4,7,195
9,699,13,37,18,2.1,0,5,240,17,22,270
52,999,1,40,17,2.1,0,5,240,1,6,290
221,1239,57,12,9,2.4,0,5,240,2,7,300
477,1500,67,49,22,1.9,0,5,240,2,6,210
52,1899,32,36,18,2.1,0,5,240,3,7,225
